pmid,title,abstract,journal,year,doi,first_author,n_authors,study_type,pub_types,mesh_terms,fetched_at
42638986,"Physical activity, sedentary behavior, and metabolic-reproductive health in women with PMOS (PCOS): a narrative review of mechanisms, clinical evidence, and individualized intervention strategies.","Polyendocrine Metabolic Ovarian Syndrome (PMOS) is a common endocrine-metabolic disorder in reproductive-aged women, characterized by clinical heterogeneity and an increased susceptibility to insulin resistance, type 2 diabetes mellitus, dyslipidemia, non-alcoholic fatty liver disease, and cardiometabolic risk. Although PMOS is often recognized through reproductive manifestations such as menstrual irregularity, ovulatory dysfunction, hyperandrogenism, and infertility, metabolic dysfunction is closely linked to reproductive outcomes through effects on androgen excess, ovulatory function, oocyte competence, and the intrauterine metabolic environment. Physical activity, structured exercise, and sedentary behavior are modifiable lifestyle factors that may influence both metabolic and reproductive health in PMOS. This narrative review synthesizes current evidence on the associations among physical activity, sedentary behavior, and metabolic complications in women with PMOS. We summarize interconnected mechanisms involving insulin signaling, adipose tissue dysfunction, chronic low-grade inflammation, oxidative stress, mitochondrial function, and gut microbiota in women with PMOS, while distinguishing evidence from observational studies, clinical intervention trials, and mechanistic or preclinical research. We also review clinical evidence on exercise modalities, including aerobic exercise, resistance training, combined training, and high-intensity interval training, as well as emerging strategies to reduce or interrupt prolonged sedentary time. Available evidence supports physical activity and structured exercise as important components of PMOS management, particularly for improving insulin sensitivity, body composition, cardiometabolic risk markers, and, in some studies, menstrual cyclicity and ovulatory function. However, findings vary according to baseline BMI, hyperandrogenic phenotype, intervention type, intensity, duration, adherence, and co-interventions such as diet or pharmacotherapy. Evidence regarding sedentary behavior remains more limited and is largely observational. Therefore, causal interpretations should be made cautiously. Finally, this review discusses individualized, patient-centered intervention strategies and identifies research gaps, including long-term randomized controlled trials, reproductive and cardiometabolic hard outcomes, combined lifestyle-pharmacological approaches, and precision medicine frameworks for women with PMOS.",Frontiers in endocrinology,2026,10.3389/fendo.2026.1797826,Huang X,4,Review,Journal Article; Review,Humans; Female; Polycystic Ovary Syndrome; Sedentary Behavior; Exercise; Reproductive Health; Metabolic Syndrome; Precision Medicine,2026-09-25T01:46:52+00:00
42077456,The impact of daily steps on polycystic ovary syndrome patients.,"OBJECTIVES: As a reproductive-metabolic disorder, lifestyle interventions play a crucial role in managing Polycystic Ovary Syndrome (PCOS) patients. However, maintaining physical activity in PCOS patients is often challenging. Daily steps are now widely used to provide relatively simple physical activity goals for the general public. This study examines the impact of daily steps on patients with PCOS, aiming to develop simple and effective intervention strategies for them. METHODS: This study included anthropometric parameters, metabolic indicators, sex hormones, and daily steps from women aged 16-40 years with PCOS (n=167) and without PCOS (n=152). Participants were divided into obese and non-obese groups based on BMI ≥ 25 kg/m² for intergroup comparisons, comprehensively evaluating the association between daily steps and various indicators. RESULTS: Among PCOS patients, 42.9% were sedentary, while only 8.8% were active or highly active. Indicators significantly correlated with step count in the correlation analysis underwent further multivariate linear regression analysis. RCS analysis further validated the positive linear relationship between HDL and daily step count in PCOS patients (P for non-linear = 0.125). For PCOS patients without obesity, daily step count showed linear relationships with TG (P for non-linear = 0.211), HDL (P for non-linear = 0.255), and VAI (P for non-linear = 0.839). Additionally, daily steps showed linear relationships with body fat percentage (BFP, p=0.033, R 2 = 0.454), android fat percentage (p=0.045, R 2 = 0.413), Android/Gynoid ratio (A/G, p=0.041, R 2 = 0.425), fat mass index (FMI, p=0.007, R 2 = 0.671), and percent trunk fat (PTF, p=0.041, R 2 = 0.427). CONCLUSION: Daily steps exhibits a beneficial association with lipid and body fat metabolism in PCOS patients without obesity, making it a viable indicator for quantifying physical activity that can be incorporated into PCOS patient management.",Frontiers in endocrinology,2026,10.3389/fendo.2026.1744228,Wang T,5,Other,Journal Article,Humans; Female; Polycystic Ovary Syndrome; Adolescent; Young Adult; Adult; Obesity; Exercise; Body Mass Index; Walking,2026-09-25T01:46:52+00:00
41893005,Perceived Risk Perception of Future Cardiovascular Disease and Diabetes in the Postpartum Period.,"Background/Objectives: Risk perception of future disease may play a role in supporting lifestyle change to prevent diabetes mellitus (DM) and cardiovascular disease (CVD). It is unknown how women in the postpartum period with different cardiometabolic conditions perceive their future risk of DM and CVD, and whether this perception influences engagement in a healthy lifestyle. Methods: Cross-sectional study of women who delivered in the past five years (n = 497) living in Australia. Logistic regression analyses examined associations between history of pregnancy (gestational diabetes mellitus (GDM), gestational hypertension (GHP), pre-eclampsia, spontaneous preterm birth (PTB), small-for-gestational-age (SGA) infants), and non-pregnancy (polycystic ovary syndrome (PCOS), infertility) conditions with perceived risk of DM or CVD, and with lifestyle behaviours (physical activity, sedentary behaviour, and diet). Results: Overall, most participants had a low perceived risk of developing future DM (73.4%) and CVD (75.2%), which varied by condition type. History of GDM and GHP were associated with higher DM risk perception (OR 1.83, 95% CI 1.06, 3.15; OR 2.73, 95% CI 1.28, 5.84), whereas history of pre-eclampsia and DM were associated with higher CVD risk perception (OR 4.48, 95% CI 1.88, 10.62; OR 3.78, 95% CI 1.20, 11.88). History of PTB, SGA infant, PCOS, infertility, and lifestyle behaviours were not consistently associated with perceived risk of DM and CVD. Conclusions: Postpartum risk perception of developing future DM and CVD was low, even in the presence of female-specific cardiometabolic conditions. This highlights the need for greater postpartum support to enhance risk awareness and support a healthy lifestyle.",Journal of personalized medicine,2026,10.3390/jpm16030137,Heidarikakolaki A,9,Other,Journal Article,,2026-09-25T01:46:52+00:00
41464286,Exercise Snacks as a Strategy to Interrupt Sedentary Behavior: A Systematic Review of Health Outcomes and Feasibility.,"Background/Objectives: This systematic review aimed to evaluate the effectiveness and feasibility of ""exercise snacks,"" brief, intermittent bouts of physical activity designed to interrupt prolonged sedentary behavior. The review synthesized findings across metabolic, cardiovascular, cognitive, and functional health domains to identify consistent patterns of benefit and determine their practical applicability across populations. Methods: A total of 26 studies met inclusion criteria, encompassing diverse populations such as healthy adults, older adults, and individuals with obesity, type 2 diabetes, or PCOS. Following the PRISMA 2020 guidelines, comprehensive searches were conducted across PubMed, Scopus, Web of Science, and CINAHL databases for studies published between 2012 and 2025. Eligible studies included randomized controlled trials, crossover trials, and feasibility studies assessing health outcomes following exercise snack interventions in adults. Data were extracted using standardized protocols, and methodological quality was evaluated using the Cochrane Risk of Bias 2 tool and Newcastle-Ottawa Scale. Narrative synthesis was prioritized due to intervention heterogeneity. Results: Exercise snacks consistently improved postprandial glucose, insulin, and triglyceride responses, reduced blood pressure, preserved endothelial and cerebral blood flow, and enhanced cardiorespiratory fitness. Older adults demonstrated significant gains in lower-limb strength and mobility. Emerging evidence also indicated improvements in mood, fatigue, and cognitive performance. Feasibility trials confirmed high acceptability and adherence across settings and age groups. Conclusions: Exercise snacking represents a time-efficient, feasible, and evidence-based strategy to mitigate the health risks of sedentary behavior. By incorporating brief, frequent activity bouts into daily routines, individuals can achieve meaningful benefits in metabolic regulation, cardiovascular health, physical function, and cognitive well-being. Future research should refine optimal protocols and explore long-term sustainability across varied populations.","Healthcare (Basel, Switzerland)",2025,10.3390/healthcare13243216,Alexe DI,6,Review,Journal Article; Review,,2026-09-25T01:46:52+00:00
41268610,"Metabolic, androgenic, and physical activity profiles in women aged over 40 years with polycystic ovary syndrome: A comparative analysis using UK Biobank data.","BACKGROUND: Polycystic ovary syndrome (PCOS) is the most common endocrine disorder in reproductive-aged women, linked to metabolic, hormonal, and psychological issues. Management typically involves lifestyle changes, including increased physical activity and reduced sedentary behaviour. OBJECTIVES: To compare the health profiles and behaviours of women with and without PCOS. DESIGN: This study analysed data from the UK Biobank, which is a prospective cohort study. METHODS: Women with PCOS in the UK Biobank were identified, while age- and body mass index (BMI)-matched controls were randomly selected. Data on factors associated with PCOS severity and self-reported lifestyle behaviours were analysed. Group differences were tested for significance, and participants were categorised by health behaviours to assess morbidity risk. RESULTS: The study included 319 women with PCOS (mean age: 43.9 years) and 638 in each control group. Significant differences (p < 0.05) were observed in anthropometric (e.g. body weight, BMI, waist and hip circumference, and body fat), cardio-metabolic (e.g. blood pressure, triglycerides, and glycated haemoglobin), and androgenic (e.g. sex hormone-binding globulin) indices. Differences were most pronounced between PCOS and age-matched controls but remained when BMI was also considered. Women with PCOS engaged in less vigorous physical activity and had higher screen time and sedentary behaviours. Those with the lowest physical activity and highest sedentary time had the worst health profiles and highest morbidity risk, regardless of group. CONCLUSION: Women with PCOS exhibit poorer health despite only slight lifestyle differences. Across all participants, lower physical activity and higher sedentary behaviour were linked to increased health risks. Further research is needed to clarify causal relationships between lifestyle factors and PCOS.","Women's health (London, England)",2025,10.1177/17455057251385800,Kite C,5,Other,Journal Article; Comparative Study,Humans; Female; Polycystic Ovary Syndrome; Adult; Exercise; United Kingdom; Prospective Studies; Middle Aged; Body Mass Index; Sedentary Behavior; Life Style; Androgens; Biological Specimen Banks; Health Behavior; Case-Control Studies; UK Biobank,2026-09-25T01:46:52+00:00
41103501,Metabolic syndrome: risk factors and molecular drug targets.,"Metabolic syndrome (MetS), is a non-communicable disorder caused by impaired management and storage of energy, primarily associated with unhealthy diets, sedentary lifestyles and stress. It is diagnosed when any three of the following conditions are observed, obesity (primary factor), hyperglycemia, low HDL, hypertriglyceridemia, and hypertension (ATP III guidelines). MetS affects approximately 14-34 % of the global population, highlighting significant public health concern. If left untreated, it leads to the development of other serious metabolic diseases like atherosclerosis, diabetes, PCOS, NAFLD, NASH, thyroid, cancer, sleep disturbance, osteoarthritis, anxiety, and depression. Despite ongoing research, no first-line drug currently exists for the comprehensive management of MetS. Its multifactorial nature often requires lifelong polytherapy with lifestyle intervention, raising concern over chronic drug use, drug-drug interactions, increasing morbidity and mortality. Therefore, there is a need highlighting the requirement of a single and targeted pharmacotherapy which offers a safer and more specific therapeutic approach. This review aims to identify and analyse ten key molecular targets in managing the pathogenesis of Metabolic Syndrome (MetS). These targets can further pave the way for a targeted and safer approach in the treatment of MetS. See also the graphical abstract(Fig. 1).",EXCLI journal,2025,10.17179/excli2025-8703,Chalotra R,4,Review,Journal Article; Review,,2026-09-25T01:46:52+00:00
40652333,Self-determined strategies for physical activity motivation among women with polycystic ovary syndrome.,"BACKGROUND: According to clinical practice guidelines for polycystic ovary syndrome, first-line treatment includes performing 150 min of moderate-to-vigorous physical activity on most days of the week plus at least 2 days of resistance training. However, <40% of women with polycystic ovary syndrome engage in regular physical activity, and about 60% are sedentary. Research evidence supports theory-informed physical activity interventions to improve motivation for physical activity. This study examined the fit of a behavioral change theory for women with polycystic ovary syndrome. OBJECTIVES: The purposes of this qualitative study were to analyze physical activity barriers through the lens of self-determination theory and identify motivational strategies that may promote initiation and maintenance of physical activity among women with polycystic ovary syndrome. DESIGN: The study involved a qualitative, descriptive design using theory-driven thematic analysis. METHODS: After emailing a demographic questionnaire and Personal Health Questionnaire-8 to screen for depressive symptoms, participants (n = 7) met three times via Zoom during the summer of 2021. Meetings were audio-recorded, transcribed, and analyzed. RESULTS: Participants were aged 33.9 (±8.1) years, premenopausal, mostly White (71%), educated (100% with at least some college), employed full-time (86%), and married (86%) with a mean depressive symptoms score of 6.4 (±3.4) indicating mild depression. Strategies such as a buddy system, physician support, technology, and behavioral change techniques are necessary to meet the psychological needs of autonomy, competence, and relatedness among women with polycystic ovary syndrome to help increase exercise motivation. CONCLUSION: Findings supported the use of self-determination theory by emphasizing that the social context of polycystic ovary syndrome can undermine physical activity behavior. Thus, physical activity interventions should consider the social context, peer support system, and mental health status of women with polycystic ovary syndrome, and include tailored programs and motivational strategies to help meet the psychological needs of autonomy, competence, and relatedness.","Women's health (London, England)",2025,10.1177/17455057251357061,Wright PJ,5,Other,"Journal Article; Research Support, N.I.H., Extramural",Humans; Female; Polycystic Ovary Syndrome; Motivation; Adult; Exercise; Personal Autonomy; Qualitative Research; Surveys and Questionnaires,2026-09-25T01:46:52+00:00
40535620,Causal relationship between physical activity and common gynecologic conditions: a two-sample Mendelian randomization study.,"OBJECTIVE: While physical activity (PA) patterns are epidemiologically linked to gynecologic pathologies, establishing causality remains uncertain. This Mendelian randomization (MR) study evaluated causal relationships between PA phenotypes and gynecologic disorders. METHODS: Using European-ancestry female genome-wide association study (GWAS) data, we analyzed eight gynecologic disorders and four PA instruments. Primary inverse-variance weighted (IVW) estimates were supplemented by sensitivity analyses (MR-Egger, weighted median, MR-PRESSO) to address pleiotropy and heterogeneity. RESULTS: Our MR revealed subtype-specific effects: walking for pleasure [OR = 0.63, 95% CI: 0.41-0.96], strenuous sports [OR = 0.34, 95% CI: 0.16-0.74], and other exercises [OR = 0.70, 95% CI: 0.49-0.99]) reduced ER+ breast cancer (BC) risk, while leisure screen time increased risk (OR = 1.08, 95% CI: 1.004-1.163). Only other exercises protected against ER- BC (OR = 0.60, 95% CI: 0.38-0.96). Exercise frequency inversely correlated with endometrial cancer (EC) (walking: OR = 0.20; strenuous sports: OR = 0.06; other exercises: OR = 0.41) and endometriosis (ES) (strenuous sports: OR = 0.17; other exercises: OR = 0.26), but was positively associated with sedentary behavior (EC: OR = 1.36). Ovarian cyst (OCS) risk decreased with walking (OR = 0.34) and other exercises (OR = 0.28), yet increased with screen time (OR = 1.23). Paradoxically, walking showed strong positive (OR = 31.48) and strenuous exercise inverse (OR = 0.004) associations with polycystic ovary syndrome (PCOS). No causal links emerged for cervical cancer (CC), ovarian cancer (OC), or uterine fibroids (UF). CONCLUSION: This first MR evidence demonstrates PA's differential causal effects on gynecologic disorders, particularly highlighting exercise modality-specific protection against ER+ BC, EC, and ES. Paradoxical PCOS associations warrant mechanistic investigation. Findings underscore PA as a modifiable preventive factor and advocate for subtype-tailored exercise guidelines in women's health.",American journal of translational research,2025,10.62347/PGYY9493,Fu M,7,Other,Journal Article,,2026-09-25T01:46:52+00:00
40365366,Unveiling Therapeutic Potential of Yoga Mitigating Oxidative Stress and Mitochondrial Dysfunction in PCOS: A Randomized Controlled Trial.,"BACKGROUND: Hormonal imbalance, mitochondrial dysfunctions, and oxidative stress (OS) have been implicated in the pathogenesis of polycystic ovarian syndrome (PCOS) and its associated clinical features. A sedentary lifestyle, exposure to air pollutants, prenatal exposure to endocrine-disrupting chemicals, processed and nutritionally depleted food, rich in trans fats, salts, and sugars, and high BMI specifically in visceral adiposity induce OS. OS damages the mitochondrial DNA, lipids, and proteins that impair mitochondrial function. Sequentially, dysfunctional mitochondria produce more reactive oxygen species that aggravate the OS. Mitochondria is pivotal for ovarian cell functioning for instance steroidogenesis, ovarian follicle development, and energy metabolism. Dysfunctional mitochondria can alter the ovarian follicle functioning leading to ovulatory dysfunction and infertility in PCOS. AIMS AND OBJECTIVES: This study is designed to investigate the effect of 12-week yoga practice on endocrine parameters, OS, and mitochondrial health, comparing outcomes in yoga and non-yoga groups. MATERIAL AND METHODS: A total of 75 participants, 32 PCOS females who completed yoga intervention in the yoga group and 29 in the nonyoga group. Hormonal levels were assessed through an immunoassay, while mitochondrial health markers, such as mtDNA copy number (mtDNA CN), reactive oxygen species, and lipid peroxidation were measured through quantitative polymerase chain reaction (qPCR), chemiluminescence, and ELISA respectively. Gene expression related to mitochondrial integrity, respiratory chain, and inflammation was analyzed via reverse transcription qPCR. Additionally, depression severity was also assessed using beck depression inventory II. RESULT: The Yoga group showed a significant increase in mtDNA-CN and upregulation of transcripts responsible for maintaining mitochondrial integrity and the mitochondrial respiratory chain. In addition, the post-yoga group shows a reduction in, lipid peroxidation, inflammatory, OS markers, and an improvement in telomere length. CONCLUSION: Yoga positively affects hormonal balance, mitochondrial health, OS, and inflammation in women with PCOS. It also alleviates depression symptoms, highlighting yoga as an effective adjunct therapy for managing PCOS. Regular yoga practice could prevent, delay, and help in managing PCOS symptoms.",International journal of yoga,2025,10.4103/ijoy.ijoy_212_24,Kumari D,9,Randomized Controlled Trial,Journal Article,,2026-09-25T01:46:52+00:00
40122638,Physical Activity by Accelerometry is Prospectively Associated With Lower Testosterone and Hirsutism Score Among Adolescent Girls.,"PURPOSE: Physical activity (PA) is recommended for the management of women with polycystic ovary syndrome (PCOS). However, it is not known whether PA modulates the risk of components of PCOS diagnostic criteria during adolescence. METHODS: We included participants from the Avon Longitudinal Study of Parents and Children prospective cohort with objective measurement of PA and sedentary behavior using accelerometry between ages 11 and 15 years, biochemical and clinical measures of hyperandrogenism (serum total testosterone level at 15 years and self-reported hirsutism at 19 years), and self-reported menstrual regularity at 17 years. Two-stage regression models evaluated the association of repeated measures of PA and sedentary behavior with components of PCOS diagnostic criteria. RESULTS: Among 1,526 singleton girls with accelerometer data and testosterone samples, time spent in light PA was inversely associated with total testosterone (ß = -0.070, 95% CI -0.114, -0.025; nmol/L, per 60 minutes) and continuous hirsutism score (ß = -0.756, 95% CI -1.41, -0.103; per 60 minutes). Conversely, time spent sedentary was associated with higher total testosterone level (ß = 0.052, 95% CI 0.013, 0.090; per 60 minutes) and hirsutism score (ß = 0.668, 95% CI 0.103, 1.23; per 60 minutes). Associations were independent of adiposity, but results for hirsutism were attenuated following adjustment for age at menarche and after stratification by hormonal contraceptive use. No associations were observed with menstrual irregularity, for other PA intensity components, or among users of hormonal contraceptives. DISCUSSION: More time spent in light intensity physical activity and less time spent sedentary during early adolescence is associated with lower testosterone concentrations and lower hirsutism scores in late adolescence.",The Journal of adolescent health : official publication of the Society for Adolescent Medicine,2025,10.1016/j.jadohealth.2024.11.015,Peters TM,4,Other,Journal Article,Humans; Female; Adolescent; Testosterone; Accelerometry; Hirsutism; Exercise; Child; Prospective Studies; Sedentary Behavior; Longitudinal Studies; Polycystic Ovary Syndrome,2026-09-25T01:46:52+00:00
